sample_id,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
obs_000,0.6643931745505197,-0.8529741199888727,-0.06712858259463717,1.3611322260473626,-1.2173282114201496,1.072317514733691,-2.150136039334652,-0.6643300086664206,-1.19482951046005,2.0312567604467775
obs_001,2.331847666494087,0.8053860277223912,-1.1815861983066593,3.93199950846587,-2.1795775532892474,-2.9137034861598914,-2.658965992108514,-3.9450904229210213,-2.138722847577587,1.0992682320765095
obs_002,-0.39648860212597076,0.08282573255495834,-0.005539224894171968,-0.055568719438765346,-0.6738519861014333,0.41392977354293614,-0.6737996018369374,0.5595385695988825,-0.4191012306370526,0.6191433500990194
obs_003,-0.5940321033513276,-0.36027094050980224,0.3061480053231386,-2.390361879018649,1.2556118438698558,0.17842891694430718,1.221044267387081,1.5798836915390753,1.328437865504291,-0.6631519615217044
obs_004,-1.0834211352044059,0.0065181252126705475,0.7615273049978954,-0.6168902588174565,0.5943937409602664,1.904132654809416,1.9666992255633122,0.5409713465315837,0.8662049470356777,-1.9782569581313334
obs_005,-0.12188672296692013,0.27735331508005057,0.3090366334888767,-0.7520325646340369,1.207845033853938,-2.895558946712107,0.324382664697776,1.0281900238103296,0.5443551530477663,-0.0344527241316081
obs_006,0.7868480912304973,0.8222520711090127,0.5384488057588037,2.0578465160149917,-0.6090527604413941,1.5452246876373377,0.06836495327425263,-1.1762503735503949,0.0885939889499763,-0.5360226302154208
obs_007,-1.1589923200080272,0.2578212280883293,0.5954068809838314,-1.500259956212806,1.6576966418260686,-0.14258432922800843,2.203699615344496,1.3029083039108809,1.9576293791337205,-1.4266695677817665
obs_008,-0.5653471544109713,-0.06832807282737585,-0.269318249332228,-1.427442530409099,-0.5876545488748622,-0.6965994316578046,-0.4786855545579659,0.471282699146581,-0.7684293799756305,1.4114616558020807
obs_009,-0.16887430737531903,-0.0457588828042802,0.3907212516357239,0.3238987175708582,-0.7346133383051612,1.8957701059688399,-0.43477688873503895,-0.05547750992479494,0.48636349434580173,-0.7187424827457246
